work_operation,frequency
256,61412
204,57031
108,52592
70,51194
49,50549
46,46801
76,38289
313,37309
4,37223
44,36095
3,35815
53,35612
52,34538
132,29614
124,28870
61,28153
6,27283
5,26344
62,26332
315,24005
314,23189
257,21744
125,19385
258,19334
123,18766
63,16535
131,16187
58,15666
55,15382
136,15355
316,15270
112,14942
104,14707
151,13190
134,13155
66,13144
152,12884
357,12719
121,12623
259,11130
264,11085
154,11045
263,11019
10,10253
7,10123
11,9902
67,9423
68,9095
317,8624
65,8099
345,7892
56,7650
323,7540
321,7410
260,7331
133,7316
128,7290
127,7259
157,6839
158,6792
126,6697
330,6473
386,6338
159,6033
129,6005
137,5840
69,5650
161,5376
162,5374
16,5308
138,5299
165,5162
103,5125
262,5057
160,4976
2,4304
164,4274
163,4237
322,4229
166,4172
12,4126
1,4051
358,3830
73,3714
118,3414
168,3368
153,3356
324,3322
156,3242
101,3188
130,3018
9,2903
169,2693
339,2646
172,2369
45,2324
17,1907
15,1876
170,1821
173,1744
122,1743
171,1731
57,1621
176,1610
175,1598
178,1568
261,1555
320,1526
18,1493
20,1467
174,1460
14,1455
325,1424
177,1412
105,1375
338,1375
19,1364
205,1305
77,1296
48,1266
180,1266
102,1263
74,1253
179,1248
327,1244
78,1224
340,1219
318,1214
54,1168
13,1151
269,1113
64,1078
334,1048
21,1026
319,1011
22,978
335,977
75,958
271,957
72,936
387,926
359,913
47,912
270,900
326,896
8,889
181,874
182,873
272,848
333,845
185,835
188,791
274,788
356,783
116,761
60,756
0,755
273,732
51,730
27,697
183,690
26,681
155,680
186,677
189,670
336,653
184,641
114,639
187,638
276,630
23,625
275,619
50,610
167,603
79,602
344,593
279,565
94,561
209,554
140,551
71,548
24,541
212,541
210,534
277,526
143,525
96,520
190,513
211,511
280,508
382,496
360,493
106,480
328,461
278,461
281,453
265,442
139,424
59,421
191,420
227,417
192,413
194,409
329,400
282,396
213,387
87,386
214,380
135,377
284,374
337,372
216,368
219,359
332,342
215,339
283,333
197,333
208,331
375,323
25,315
217,312
379,307
218,306
91,306
111,304
286,300
220,299
196,275
285,273
232,270
287,267
90,263
195,263
228,260
81,259
193,250
331,233
207,233
98,229
141,228
80,225
348,216
222,213
288,208
107,203
206,199
109,199
82,198
200,190
84,190
310,189
145,189
83,187
120,185
198,182
225,182
199,180
221,179
92,168
85,153
384,151
301,150
290,150
312,150
110,150
289,149
142,147
292,146
302,146
233,141
201,141
86,138
226,137
341,133
291,129
296,125
293,123
99,122
230,120
88,119
294,118
229,118
298,110
28,109
95,108
295,107
299,104
352,98
304,96
224,96
231,96
202,94
89,93
223,93
362,92
297,90
351,90
113,90
303,89
385,87
234,84
144,80
300,72
203,71
305,69
342,69
97,67
306,67
29,65
267,62
266,61
146,59
343,59
236,59
381,59
239,57
355,55
383,55
115,55
243,54
308,53
307,52
119,52
235,47
248,44
237,41
147,40
240,40
242,39
93,38
246,38
309,38
252,37
244,36
241,36
149,35
254,35
245,34
253,33
346,32
117,32
148,31
250,31
238,30
268,28
255,27
249,27
350,26
247,26
376,25
347,24
311,21
354,21
349,19
100,18
251,16
353,16
150,14
30,13
364,11
380,11
377,7
363,7
366,5
374,1
368,1
